Gondi_Sentence	Telugu_Sentence
నన్న గాటొ తిన్మకి బారిత్తెకె కర్వస్మకి	నేను అన్నం తిన్నలేదు ఎందుకంటే ఆకలిగ లేదు
వోర్ నాకున్ పాతోర్ బారిత్తెకె వోర్ సోంగ్నె మత్తోర్	అతను నన్నుకొట్టాడు ఎందుకయె అతను కోపంలో ఉండే
కిడ్కి వాట్స్ి మంత బారిత్తెకె జోర్తె పిర్ వాసెర్ మంత	కిటికి పెట్టి ఉంది ఎందు కంటె వర్షం జోరుగ వస్తుంది
మొకర్తెకె	ఒక వేల
మొకర్తెకె మనోజ్ వాతెకె తేజల్ దాయర్	ఒక వేల మజోజ్ వస్తె తేజ వెళ్ళచ్చు
మొకర్తెకె పిర్ వాతెకె కోర్ పూరంతోర్	ఒక వేల వర్షం వస్తే అతను తడుస్తాడు
మొకర్తెకె నిమ్మె సెయ్య్తై సొత్తెకె వెయ్నె యెవంతి	ఒక వేల నీవు సైకిల్ తో వెళ్ళుతె తొందర చేరు తారు
బస్కే... అస్కే	ఎప్పుడు... అప్పుడు
నిమ్మె బస్కే గాటొ తత్తెకె అస్కే నన్న కొత్తంగ్ సీంతోన్	నీవు ఎప్పుడు అన్నం తెస్తే అప్పుడు నేను డబ్బులిస్తాను
బస్కే పిర్ వాతెకె అస్కే తరస్క్ వాంతంగ్	ఎప్పుడు వర్షం కురిస్తే అప్పుడు పాములు వస్తాయి
బస్కే పోడ్డ్ పెసియంత అస్కే వానై దాంతేర్	ఎప్పుడు సూర్యుడు వస్తాడు అప్పుడు పొలాలకువెళ్ళుతారు
బతి	కాని
నన్న కావడ్ కెహ్తోన్ బతి కుంజి రొప్పో మత్త	నేను తలుపువేశాను కాని తాళ్ళం చేవి లోపల ఉంది
వోర్ “వాక” ఇత్తోర్ బతి వాయ్యకి	అతను వాస్త అని అన్నాడు కాని రాలేదు
నన్న పాల్ ఉంటోన్ బతి కల్ ఉనోన్	నేను పాలు త్రాగుతాను కాని సారాయి త్రాగను
వేర్ మావొర్ కాండి	ఇతను మా కుమారుడు
వీర్ మావుర్ కాండిర్	వీరు మా కుమారులు
ఇద్ నావ పేడి	 ఈమె నా కూతురు
ఇద్ వోన పేడి	ఈమె అతని కూతురు
ఇవ్ నావంగ్ పేకింగ్	వీళ్ళు నా కూతురులు
వేర్ వొనొర్ కొండి	ఇతను అతని కుమారుడు
వీర్ వోనెర్ కొండిర్	వీరు అతని కుమారులు
