Gondi Sentence	Hindi Translation	Telugu Translation
काकह्‍क कत्‍पुक आसी मनंतां.	कौआएं हमेशा इकट्टा रहते है।	
बतलना कतरिचाला कत्तेरा कबड़्क ओज्‍जंता.	कुछ काटने के लिये कैंची का इस्‍तेमाल होता है।	
काकाह्‍क बगानना उद्दनय्ते कत्‍पुंक-कत्‍पे उद्दंतां.	कौआ अगर कहीं बैठता है तो पूरे झुंड के साथ बैठता है।	
मरमींने तोरण दोहला रंगु-रंगुल्‍कुना कायदाल्‍क कत्रिचंतुर.	शादी में तोरण बनाने के लिये अलग-अलग रंग के कागज काटकर चिपकाते हैं।	
पंदिरि वाट्ते दानपोरो कन्‍ड्ररां वाटांतुर.		పందిరిలో గుంజల పైన వాసాలు వేస్తారు.
मरमींने पेगिड-पेडना तलुर-बाबो ओरा-ओरा हेडमितोर्कुंक कपडीं तासंतुर.		చుట్టాలు, బంధువులు పెండ్లిలో వరుడు,వధువు తల్లి, దండ్రులకు బట్టలు కట్నము చేస్తారు.
बोना कपडीं ओर हुकगोम	स्वंय के कपडे स्वंय ही धोनी चाहीये।	
कोया मुरताह्‍क कपर्क बोट्टु तासंतां.	गोंड औरतें माथे पे टिका लगाते है।	
सिनस्‍के कप्‍पिड उहावायो.	बचपन मे कपडा पहनना मुश्‍किल होता है।	
कास्ता गंजुनु पॆगुने पिसि रेहांतुर.		వేడి వంట పాత్రను బట్టతో పట్టి దించుతారు.
नना नार होत्ते नॆदे कबड कियला दांतन.	जब मै गांव जाता हूँ, तो खेत में काम करने जाता हूं।	
कास्‍तकरी मनकंक मरसु बस्‍केड्‍के कबड्‍क अर्रंता.	खेती करनेवाले को कुल्‍हाड हमेशा काम में आता है।	
कास्‍तकरी कियनोन हाटीं कासूर/कचलम बच्‍चनो कबडतद.	खेती करनेवालों के लिये खटारा अति महत्त्‍वपूर्ण होता है।	
कबड-दंदा हिल्‍वोर लॊने मींडसि मनंतुर.	जिसे कामधंदा नही वह घर में पड़ा रहेगा।	
नावा बाबाल नॆलीते कबड कींतोर.	मेरे पिताजी खेत में काम करते है।	
कबडक ओज्‍वा बूमीते पंटा पंडो.	बिना काम की भूमी में फसल नही निकलता।	
कास्‍तकरी कियनोन हाटीं कासूर/कचलम बच्‍चनो कबडतद.	खेती करनेवालों के लिये खटारा अति महत्त्‍वपूर्ण होता है।	
कबड-दंदा हिल्‍वोर लॊने मींडसि मनंतुर.	जिसे कामधंदा नही वह घर में पड़ा रहेगा।	
कास्‍तकरी मनकंक मरसु बस्‍केड्‍के कबड्‍क अर्रंता.	खेती करनेवाले को कुल्‍हाड हमेशा काम में आता है।	
रोज मा बाबाल कबड्‍क दांतोर.	हरदिन मेरे पिताजी काम पे जाते है।	
मा दादल नाकु लॊन वा इंचि कबुर लोहतोर.	मेरे भैय्या ने मुझे घर आने के लिये खबर भेजा है।	
मावा लॊन अंटोरकन्ना एक्‍को मा बाबाल कमांचंतोर.	मेरे घर में सबसे ज्यादा मेरे पिताजी कमाते है।	
कुसिर्कु रंगु वायगोम इंचि अव्टे कम्‍का नोह्‍किसी वाटंतुर.	सब्‍जी को स्वाद तथा रंग आने के लिये यह हल्‍दी उपयोगी है।	
मनकंक कामेल्‍क आयानय्ते ओना कळ्‍क पच्‍चगा आंता.	कावीळ से पिडित आदमी के आंखो में पिला रंग आता है।	
कम्मरि कच्‍चितुन काच्‍हासि मर्सुकु, गडापारां तयार कींतोर.	लोहार लोहे को गरम करके कुल्‍हाड, सब्‍बल वगैरा बनाता है।	
मनकंक रोंडु कय्‍क मनंतां.	मनुष्य को दो हाथ होते है।	
पिर वायनेंके पिरदाल बस्‍केन बस्‍केनो करगना बंडां अर्रंतां.	वर्षा होते समय बारिश के साथ कभी-कभी पिघलनेवाले पत्‍थर भी गिरते है।	
बरप बंडा करगंता.	बर्फ के पत्‍थर गर्मी से पिघलते है।	వడబండ్లు కరుగుతాయి.
करंट तीगेतुन इट्ते करंट दल्‍गंता.	बिजली के तार को हाथ लगाने से धक्‍का लगता है।	
वेल्‍ले कबड कीते इरगा करवेसंता.	ज्यादा काम करणे से ज्यादा भूक लगता है।	
नॆदे कबड़ कीताहेंका नाकु करवेस्‍ता.	खेत में काम किया तो मुझे भूक लगा।	చేనులో పనిచేస్తే చాల ఆకలేస్తుంది.
ओर सेंडी करससेके मंतोर.	वह बॉल खेलता है।	వీరు బంతి అడుచున్నారు.
ओर दान्‍कु कंप्युटर करहचंतोर.	वह उसे कंप्युटर पढ़ाता है।	ఆయన ఆమెకు కంప్యూటర్ నేర్పుతున్నాడు.
बस्‍केळ्‍क मंचि कबाह्‍के कियना कराब कबाह्‍क कियमन्नी.	हमेशा अच्‍छा काम करनी चाहिये, बुरा काम नही करनी चाहिये।	
मंचि मनकल अंटोर्क मंचि कींतोर, गानि सेडु मनकल कराब कींतोर.	अच्‍छा आदमी सबका अच्‍छा करता, पर बुरा आदमी सबको बिगाड़ता है।	
मंचि मनकल अंटोर्क मंचि कींतोर, गानि सेडु मनकल कराब कींतोर.	अच्‍छा आदमी सबका अच्‍छा करता, पर बुरा आदमी सबको बिगाड़ता है।	
कराब मेंजू इरगा गब्‍बु वांता.	खराब अंडा दुर्गंध पैलाता है।	
नना इंदकेने कोयम करियसंतन.	अभी मै गोंडी सीख रहा हूं	నేను ఇప్పుడు గోండి భాష నేర్చుకుంటున్నాను.
ओर दान्‍कु कंप्युटर करहचंतोर.	वह उसे कंप्युटर पढ़ाता है।	ఆయన ఆమెకు కంప్యూటర్ నేర్పుతున్నాడు.
नॆदे कबड़ कीताहेंका नाकु करवेस्‍ता.	खेत में काम किया तो मुझे भूक लगा।	చేనులో పనిచేస్తే చాల ఆకలేస్తుంది.
लॊन दोहला उस्‍केते सिमेंट कल्‍पंतुर.	मकान बनाने के लिये रेत में सिमेंट मिलाते है।	మనిషి ఇల్లు కట్టుటకు సిమెంట్ కలుపుతున్నాడు.
गमुलोड सिंदि अनि ताडी कल्‍लू रेहांतोर.	कलार सिंधी, ताड़ी का दारू निकालता है।	గౌడు ఈత చెట్టు, తాడి చెట్టు నుండి కల్లు దించుతాడు.
पेडल कवसंतोर.	बच्‍चा हस रहा है।	పిల్లలు నవ్వుతారు.
तला ऊसला कंग्‍वा कबड हींता.	सर के बाल बनाने के लिये कंगी काम आता है।	
गाटो अट्टनाहाटीं एतुन काच्‍हंतुर.		అన్నము వండుటకు నీటిని ఎసరు పెట్టుతారు.
वंजीतुन पेदा-पेदा मोप्‍कु दोहचि कांजसि ओंतुर.		అర్కకు తాళ్ళు కట్టి తీసుకెళ్ళుతారు.
लेय्या मुर्ताह्‍क कडकुंक काट्‍के दोस्‍सांतां.	युवा लडकीयाँ आखों में काजल लगाते है।	అమ్మాలు కళ్ళలో కాటుక పెట్టుతారు.
लेय्या मुर्ताह्‍क कडकुंक काट्‍के दोस्‍सांतां.	युवा लडकीयाँ आखों में काजल लगाते है।	అమ్మాలు కళ్ళలో కాటుక పెట్టుతారు.
ई काया पंडा हिल्‍ले.	यह फल कच्‍चा फल है।	మామిడి చెట్టు దగ్గర కాయలు ఉంటాయి.
रोज हक्‍केर्कु एरतुंगसि बूदेवुंकु दंडम तासगोम.	हर रोज सुबह उठकर स्‍नान करके के पृथ्‍वी को नमन करनी चाहिये।	రోజు స్నానం చేసి ప్రొద్దున భూమాతకు దండం పెట్టుతారు.
सरवन बालुड़ु ओना गुड्डि यावन-बाबन कावेडते उप्‍पिचि कासीक ओतोर.	श्रावणकुमार ने अपने अंध माता-पिता को कावड़ में बिठाकर काशी लेके गया था।	శ్రవణ కుమారుడు తన తల్లి దండ్రులను కావాడిలో కాశీకి తెసుకెళ్ళనాడు.
जोन्ना गाटो अटनहाटीं मुन्ने एतून एसर वायागोट्टा पींता.	जवार का खाना पकाने से पहले पानी को उबल पड़ता है।	జొన్న అన్నము వండడానికి ముందు నీటిని వేడి చేయవలెను.
ओर पिडकना पोरो इनुमुंक काकं हीसंतोर.	वह आदमी लोहे को गरम कर रहा है।	పిడికెల పైన అగ్గిలో ఇనుము వేడిచేస్తారు.
केडातल कट्टें तरला कासूर कबड़ हींता.	जंगल से लकडीयाँ लाने को खटारा काम आता है।	అడవి నుండి కట్టెలు తీసుకరావడానికి ఎడ్లబండి పనికిస్తుంది.
कोय्‌तोर किन्नेरा नेकसंतुर.	गोंड लोगो के पास 'किन्नेरा' पाया जाता है।	గోండ్స్ మత్రమే కర్నాట్ అనే సంగీతం వాయిద్యం వాయిస్తారు.
उंदि जेगाते वेल्‍लेन पोरलोर जमा आते ओर वरोंक-वरोर किस्‍कुकुंतुर.	एक जगह सब लड़के इक्‍कट्ठा आये तो वह एक-दुसरे का चिमटा लेते है।	ఒక చోట పిల్లలు గుమిగూడితే ఒకరి నోకరు గిచ్చుకొంటారు.
कींकिर नेकस‍ना हाटीं कींकिर पुल्‍ला कावाले.		కీక్రి అనే సంగీత సాధనము మ్రోగించుటకు ఖుజా ఉంటుంది.
पेनकुना पूजा कियला कुंकुमा अनि गुलाल पोडरता बोट्टु तासंतुर.	भगवान का पूजा करते समय कुंकु का उपयोग होता है।	దేవుళ్ళ పూజ కొరకు కుంకుమ గులాలు అంగడి నుండి తెస్తారు.
पेनकुना पूजा कियला कुंकुमा अनि गुलाल पोडरता बोट्टु तासंतुर.	भगवान का पूजा करते समय कुंकु का उपयोग होता है।	దేవుళ్ళ పూజ కొరకు కుంకుమ గులాలు అంగడి నుండి తెస్తారు.
जोन्न बुस्‍सी,पेसेल पोट्टु इवुन अंटवुन कुटार इंतुर.		జొన్న చొప్ప కంది చొప్ప ఎడ్లకు ఎండ కాలంలో మేత పెట్టుతారు.
काल हेलवोन कूटाल इंतुर.	जिसका पैर नही होता है, उसको लंगड़ा कहते है।	కాళ్ళు చేతులు లేని వారిని కుంటి వారంటారు.
इरगा पिर वाताहेंके कुडेर्कु कम्मुड वाता.	अधिक वर्षा के कारण नाले को बाढ़ आयी है।	వర్షం వస్తే వాగులు పొంగుతాయి.
नवराल नवरींक कुतिकट्टु दोहांतोर.	दुल्‍हा दुल्‍हन के गलें में मंगलसूत्र बांधता है।	వరుడు వధువు మెడలో మంగళ సూత్రం కట్టుతాడు.
सिने पिलाल्‍कुन कव्‍सला ओर्कुन कुतुल कीते ओर इरगा कव्‍वंतुर.		చిన్న పిల్లలను నవ్వించుటకు గులగుల (కితకితలు) పెట్టుతారు.
कुम्मल अड़्कां-बुड्डीं कीसेक मंतोर.	कुंभार मटका बनाता है।	కుమ్మరి వాడు కుండ తయారు చేస్తున్నాడు.
तव्टम तासना हेटेटुन कुरपे इंतुर.		చిన్నకొడవలిని కుర్ప అంటారు.
काल हेलवोन कूटाल इंतुर.	जिसका पैर नही होता है, उसको लंगड़ा कहते है।	కాళ్ళు చేతులు లేని వారిని కుంటి వారంటారు.
तडमि मत्ता कट्टेतुन कूटेल इंतुर.		కట్టే కాలిన తరువాత దానిని విస్కూడ్ కట్టే అంటారు.
कूडीं तयार कियला राय आकीं मंचिगा मनंतां.	पतराड़ी का उपयोग शादीयों मे खाना खाने के लिये होता है।	వీరు ఇస్తారాకుల కొరకు రాగి చెట్టు ఆకులు తెంపుతున్నారు.
सिने पिलाल्‍कुन बस्‍सुने पीसि उद्दुते ओर्कु कुर्का वांता.	आवश्यकता से जादा खाने से नींद लगता है।	చిన్నపిల్లలను బస్సులో పట్టి కూర్చుంటే నిద్రపోతారు.
पुन्‍कु, गड्डां आसि मत्तस्‍के पप्‍पु कुसिर तित्ते अव कुलुम पींतां.		పుండ్లు, గడ్డలు అయితే చీము పట్టుతాయి
तल्‍लक होकना नीय मारते डब्‍बातुन पैहाचि कूसंतुर.		తల నూనే అయిపోతే నూనే డబ్బను చూస్తారు.
सिने पिलाल्‍क वेसुड केंजसंतुर.	छोटे बच्‍चे बालकथाए सुनना पसंद करते है।	బాలురు, బాలికలు వింటుంన్నారు.
बगा अय्ते इरगा मरक, गुट्टां, गट्‍क मनंतंगों, अद जॆगातुन केडा इंतुर.	जहां	
केडा बर्रे केडाते मनंता.	जंगली भैस जंगल मे रहता है।	
केडाते मनना वेरकटुन केडा वेरकळ इंतुर.	जंगल मे पाये जानेवाले बिल्‍ली को जंगली बिल्‍ली कहते है।	
केडा कोरदा बूरा मुन्नेड्‍क मल्‍सी मनंता.	जंगल में रहनेवाले मुर्गीयों को जंगली मुर्गी कहते है।	
दूरमताल केयमड़कन्ना दग्‍गेरा होंचि वेहामड़ बॆस.	दूर से बुलाने से बेहतर नजदीक जाके बताना कई गुना अच्‍छा है।	
नना अंगी केरतन.	मै शर्ट पहनता हू।	నేను చొక్క వేసాను
मनकना तल्‍लाकन्ना मुरतटा तल्‍लक एक्‍को केल्‍क मनंता.	आदमी से औरत के सर में ज्यादा बाल होते है।	
मुरताह्‍क केवदुक केवपॊग तासंतां.	औरतें कान में बाली लगाते है।	
मनकंकु रोंडु केव्‍क मनंता.	मनुष्य को दो कान होते है।	
केव्‍वुने कॆंजंतुर.	कान से सुनते है।	
मनकंकु रोंडु केव्‍क मनंता.	मनुष्य को दो कान होते है।	
बस्‍केळ्‍क आय बॆकेनना होननेंके लॊता तल्‍प केहगोम.	हमेशा बाहर जाते समय घर का दरवाज़ा बंद करनी चाहीये।	
कैसुर पीसि लॊन हेय्यंतुर.	झाडू से घर साफ करते है।	
कॊती केडाते मनंता.	बंदर जंगल में रहता है।	
हॆपुर कॊलाना टोपी कीसि डंडारी करसंतुर.		చచ్చోయ్ కొలాటముతో దండారి నృత్యం చేస్తారు.
मा लॊतुक नालूं कोलीं मंतां.	मेरे घर में चार कमरे है।	
कटुल्‍क नालूं कॊसुल्‍क मनंतां.	खटिये को चार ढाचायें होते है।	
कोकसम कोर्कुनां कोर्के तेहाकुंचि ओंता.		గ్రద్ద ఊరిలోని కొళ్ళ పిల్లలను ఎత్తుకొని పోతుంది.
कोंगा कुडेह्‍क, बेरेह्‍कुन पीसि मनंता.	बगला नाला, नदी के किनारे पाया जाता है।	
कोगिल पिट्टेता आवाज/लॆंग तिय्यगा मनंता.	कोयल की आवाज बहुत मिठा होता है।	
नना इंदकेन कोंचम-कोंचम इंग्‍लीश करियसेके मंतन.	मै अभी थोडा-थोडा इंग्‍लीश पढ़ रहा हूँ।	
पॊड्‍द होत्ते कोर्कु अवुना कोंटते होंचि मींडतां	शाम होते ही मुर्गीयां अपने कोने मे जाके सो जाते है।	
लोता लोप्‍पो उंदि अर्राता मूलाते पेन मनंता.	हर घर मे एक देवघर होता है।	ఇంటిలో ఒక మూల దేవుడు స్థలం ఉంటుంది.
कोटी रूपें मत्तोन कोटेस्वर इंतुर.	जिसके पास करोड़ रुपया है, उसे करोडपती कहते है।	
गोड़कुंक मींडला कियना जॆगातुन कोड़का इंतुर.	पशूओं का रहने का ठिकाण को गोटा कहते है।	జంతువులను, ఉంచడానికి కొట్టము చేస్తారు.
कोडका पिट्टें लोह्‍कुन पीसे मनंतां.	चिमणी घर-आंगण में ही पाया जाता है।	
पद्दिक एक्‍को कोड़ंज़ मनंता.	सुवर को ज्यादा चरबी होता है।	
मर्रिना मुत्तो कोडयड आंता.	लडके की पत्‍नी बहू लगती है।	
नना उंदि मल्‍का तुमिर मराता कोस्‍सा कोड्डीदाका एकतन.		కాలకు ముల్లు గ్రుచ్చినచో సూదితో తీస్తారు.
कोत्‍लना मुत्तोन कोताल बाई इंतुर.	कोतवाल की पत्‍नी को कोतवाल बाई कहते है।	
एनकटा एंडी कोत्तां मत्तां.	गुजरे जमाने मे चांदी के सिक्‍के बाजार में थे।	
मना देसेमते रुपया ताकंता.	अपने देस का चलन रुपया है।	
बतलना असनद मत्ते कोत्तां हीसि अस्‍संतुर.	कुछ खरिदने के लिये पैसा देना अनिवार्य है।	
पटवारीन पज्‍जो बोर अय्ते वेलियंतोरो ओन कोत्‍लल इंतुर.	जो पटवारी के साथ रहता है, उसे कोतवाल कहते है।	
कोत्‍लना मुत्तोन कोताल बाई इंतुर.	कोतवाल की पत्‍नी को कोतवाल बाई कहते है।	
हाटुमते बेके कोंदां अस्‍सला दोरकंतंगो हेकेटा जेगातुन कोंदना हाटुम इंतुर.	जिस बझार में बैल भिकता है, उस बझार को बैलों का बझार कहते है।	ఎడ్ల అంగడి ఉంటుంది. ఎడ్లు ఆమ్మె స్థలాన్ని ఎడ్ల వాడా అంటారు.
नॆली कियना प्रति मनकनगा कोंदा मनंता.	खेती करनेवाला हर किसान के पास बैल होता है।	
हाटुमते बेके कोंदां अस्‍सला दोरकंतंगो हेकेटा जेगातुन कोंदना हाटुम इंतुर.	जिस बझार में बैल भिकता है, उस बझार को बैलों का बझार कहते है।	ఎడ్ల అంగడి ఉంటుంది. ఎడ్లు ఆమ్మె స్థలాన్ని ఎడ్ల వాడా అంటారు.
एनकटा आदिवासीर्क कोन्‍लीते गाटो अटुंदुर.	गुजरे जमाने के आदिवासी समाज के लोग इस तरह की बरतन मे खाना पकाते थे।	
पोलाला पंडुगुना नाड हनमंतुना गुड़ीते कोब्‍बेर कायां पय्‍हंतुर.	पोला उत्‍सव में हनुमान मंदिर में नारियल फोड़ा जाता है।	పొలాల పండుగ రోజున అందరు అంజనేయుని గుడిలో టెంకాయ కొట్టుతారు.
कोब्‍बेर मरा अन्नी जॆगाने पिस्‍सो.	नारियल का पेड़ हर जगह जिवित नही रह सकता।	
कोब्‍बेर काया पैहातंका कोब्‍बेर कुड़का पलते अर्रंता.	नारियल फोडने के बाद सफेद भाग बाहर निकलता है।	
कोब्‍बेर मरा अन्नी जॆगाने पिस्‍सो.	नारियल का पेड़ हर जगह जिवित नही रह सकता।	
मना देसेमते मनना अन्नी जातिनाल कोमटि उंदि जाति आंदु.	हमारे जितनी भी जातीयाँ है, उसमे से कोमटी इक जात है।	
एटीं, गोड़क, कॊंदांक कोम्‍कु मनंतां.	बकरी, गय्या, बैल को सींग होते है।	
मराता कोम्मां हीके-हेके ऊंगंतां.	पेड़ के टहनी हवा के कारण हिलने लगते है।	చెట్టు కొమ్మలు అటు ఇటు వెళ్ళుతాయి.
कोया उंदि जाति आंदु.	गोंड एक जात है।	
कोयतोर एक्‍कोते एक्‍को केडा दग्‍गेरा मनंतुर.	आदिवासी जमाती विशेष करके जंगल क्षेत्र मे ही रहते है।	అడవులలో, గూడెలలో ఉండేవారు గోండువారు.
कोयतोर वडकना बाषातुन कोया बाषा इंतुर.	गोंड लोग जो भाषा बोलते है, उसे गोंडी भाषा कहते है।	
कोयतोर एक्‍कोते एक्‍को केडा दग्‍गेरा मनंतुर.	आदिवासी जमाती विशेष करके जंगल क्षेत्र मे ही रहते है।	అడవులలో, గూడెలలో ఉండేవారు గోండువారు.
वंजीपंटा मूडनेल्‍कुंक कॊतक वांता.	धान का फसल तीन महिने बाद काटने योग्य होता है।	
बर्रेता कोर पेद्दगा मनंता.	भैस का शींग बड़ा होता है।	
कोर बगा अय्ते गुडुक/मेस्‍क तासंतनो आ जॆगातुन कोरगूडा इंतुर.	मुर्गी जिस घोंसले मे अंडा देता है, उस घोंसले को मुर्गी का घोंसला कहते है।	
कोर्रु उंदि ईता आयका मुन्ने दान कोर पेट्टा इंतुर.	मुर्गी की युवा अवस्‍था को तलंग कहते है।	
कोर पोरि सिन्नस्‍के हूडला बॆस दिस्‍संता.	मुर्गी का पिल्‍लू बचपन में देखने को बहुत सुंदर दिखता है।	
इर गड्डेम गीकसेके./कोरियसेके मंतोर.	यह आदमी दाड़ी बनाता है।	ఈయన గడ్డం తీస్తున్నాడు.
पेरगुंकन्ना पल्‍सगा मनानदुन कोरोप इंतुर.	दुध से ताक बनाया जाता है।	పెరుగును ఒక పాత్రలో చల్ల చేస్తారు.
कोर्रीना गुगरीं वाटसि तिंतुर.	सेम का नाश्ता बनाके खाते है।	
कोर्रु मेस्‍क/गुडुक तासंता.	मुर्गी अंडा देता है।	
कोर पोरि सिन्नस्‍के हूडला बॆस दिस्‍संता.	मुर्गी का पिल्‍लू बचपन में देखने को बहुत सुंदर दिखता है।	
कोर्रु उंदि ईता आयका मुन्ने दान कोर पेट्टा इंतुर.	मुर्गी की युवा अवस्‍था को तलंग कहते है।	
नरकड्‍कु कुडेटे होंचि एटोन तिनना जिवराशीतुन कोलयल इंतुर.	लोमडीयाँ जंगल मे रहते है।	వాగులో రాత్రి పూట ఎండ్రికాయాలు తినె జంతువును నక్క అంటారు.
होली पंडुगुंक कोलाटम आटा करसंतुर.	होली उत्‍सव में यह खेल खेलते है।	
कम्मरि मरसुकुन कोलिमते काच्‍हांतोर.	लोहार लोहे को गरम करता है।	కమ్మరి గొడ్డళ్లు పదును చేస్తారు.
जोगनगुडा अनि उमानूर नड्डुम कोसेड अंतर मंता.	जोगनगुडा और उमानूर के बीच का अंतर दो मील का है।	
कोसिस कियनोर बस्‍केने ओडोड.	कोशिश करनेवालों की हार नही होती।	
पुन्‍नु आते कोह्‍का तासते मग्‍गंता.	चोट लगने से बिबा लगाने से आराम मिलता है।	
कोह्‍का मरा उंदि मत्तु मरा आंदु	बिबा का पेड़ एक आयुर्वेदीक पेड़ है।	
नांगेल उडानेंके कोंदन मुलगकट्टेते कोह्‍कंतुर.	हल चलाते समय बैलों को तुतारी से टोचते है।	
गंगा बेरेड़ मना देसेमता पवित्र बेरेड़ इंतुर.	गंगा नदी को पवित्र नदी कहते है।	
गंजुने गाटो अट्टांतुर.	बरतन/गंज में चावल पकाते है।	
नर्कड्‍क बुरकल वांता इंचि वेहातेंके राकेश गज‍गजा वन्‍काला दल्‍गुतोर.	रात को शेर आने की खबर सुनकर राकेश थरथर कांपने लगा।	
गंजय उनानेंके मात्रलोर इरगा पोया होड्‍संतुर.	गांजा यह एक प्रकार का नशीला चिज है।	ఊర్లలో ముసలివారు గంజాయి త్రాగెటప్పుడు పొగ పీల్చుకుంటారు.
गज्‍जि आते इरगा दुर्दा तेदंता.	खरुज होने से बहुत खुजली होता है।	
एगरानेंके काल्‍कुंक गज्‍जें दोहाचि एगरंतुर.	नाचते समय आदिवासी नृत्यक पैरों में घुंघरु बांधते है।	డెమ్‌సా నృత్యంలో కాలకి గజ్జెలు కట్టి నృత్యం చేస్తారు.
गज्‍जेर पंडिं नाशिक जिल्‍लते दोर्कंतां.	खजूर के फल नाशिक जिले में पाया जाता है।	
नना रोज हेय्यूं गंटां हदवंतन.	मै हरदिन पाच घंटे पढ़ाई करता हू।	
नावा पल्‍कु गट्टिगा मंतां.	मेरे दात मजबूत है।	
गडिते टाईम हूळांतुर.	घड़ी में समय देखते है।	
गड्डी मूंजुकुन मनकालोर हव्‍किसी तिंतुर.	माकड़ को लोग शिकार करके खाते है।	
सिन्नस्‍के इस्‍कुलते नाकुन बोर दोर्कते ओरे गदरांचुंदुर.	बचपन में पाठशाला में मुझपर जो चाहे वो गरजते थे।	
गद्दल हाता जिवरासुल्‍कुना हाव्‍वीं तिंता.	गीदड़ मरे हुए जानवरों का मटन खाता है।	
मरमीने पेगिड-पेडल उद्दला मुंडा गुंजातगा गद्दे वाटंतुर.		పెండ్లిలో వధు, వరులు కూర్చోవడానికి గద్దెలు వేస్తారు.
बोरो-बोरो 'तप आता, माप कीम' इंचि गद्‍वां पींतुर.		తప్పు అయితే క్షమాపన అడుగుతు గడ్డం పట్టుతారు.
गन्नुने पेदा-पेदा बंडा पय्‍हावांता.	हातोडे से बड़े-बड़े पत्‍थर फोड सकते है।	
कंकक्/बोंगुंक गन्ने मनंता.	बांबु इस वनस्‍पती में गांठ पाया जाता है।	
गबिलेंका पिट्टे मराक वेलाड़ अर्रंता.	चमगादड़ पेड़ पे बैठ नही सकती।	
सिन्ना पिलाल्‍कुंक करस्‍ला बोम्मा हीते ओर्कु गमते-गमत आंता.	छोटे बच्‍चों को खेलने को खिलौना दिया तो उन्‍हे बेहद खुशी होता है।	చిన్నపిల్లలకు ఆటలాడెందు బొమ్మలు తెస్తె చాల ఆనంద పడుతారు.
गमुलोड सिंदि अनि ताडी कल्‍लू रेहांतोर.	कलार सिंधी, ताड़ी का दारू निकालता है।	గౌడు ఈత చెట్టు, తాడి చెట్టు నుండి కల్లు దించుతాడు.
आ मुरतड़ गाजीं केरसेके मंता.	वह औरत चुडी/कंगन खरिद रही है।	ఈమే గాజులు కొనుచున్నాది.
नूंग निय तेंड्‌ते पीची पेय्‍संता.		నువ్వుల నూనే తీస్తె పీచు వెలుతుంది.
जिम्मां/मीन्‍क पियला गालमसुव्‍वक गालम दोहांतुर.		చేపలు పట్టుటకు కట్టెకు గాలం కట్టుతారు.
कुर्रां करहाला गिर्रे कींतुर.		కంకలను నేర్పుట కొరకు గిర్ర అనే దానిని తయారు చేస్తారు.
केडा नाटेनोर कोर्री गुग्रीं एक्‍को तिंतुर.	नाश्ता के लिये गांव के लोग वाल का ऊसळ बनाते है।	
पत्तीता नॆदे जाडी बेर्सते गुंटुक तन्नंतुर.	रुई के खेत मे अधिक घास निकला तो ऊपर-ऊपर डवरा चलाते है।	పత్తిలో గడ్డి మొలచినచో గుంటుకు కొట్టుతారు.
मातरलोर्कुंक दूरमताल गुड्डि-गुड्डि दिसंता.		ముసలి వాళ్ళకు దూరం నుండి కనిపించే బాలుడు మసక, మసక కనిపిస్తాడు.
हतिह्‍कुननाड गुदुमसाई एगरंतुर.	'गुदुमसाई' यह नृत्यप्रकार शादी के तिसरे दिन के रात मे नाचते है।'	పెళ్ళి రోజు రాత్రి పూట ఢెమ్స నృత్యము చేస్తారు.
इस्‍कुल करहना मनकन गुरजी इंचि केयांतुर.	पाठशाला में पढ़ानेवाले व्यक्‍ती को अध्यापक कहते है।	పూర్వపు కాలం యందు బడి చెప్పె ఆచార్యుడుని మస్తరల్ అనే వారు.
पूना लोन वाट्ते दानकु गूरे दोहांतुर.	नया घर बनाने पर उसे दीवार बनाना जरुरी है।	క్రొత్త ఇంటి ముందు ప్రవహరి గోడ కట్టుతారు.
लेय्या पेकीं गोह्‍कुंक गोर पालिश होकंतां.	जवान लड़कीयाँ अपने नखुन को नखपालीश से रंगाते है।	అమ్మాయిలు గోరుళకు పెంటు వేసుకుంటారు.
पीनी कालमते गोंगोडि मुच्‍कुंतुर.	ठंडकाल में कंबल का इस्‍तेमाल करते है।	చలికాలం గొంగాళి కప్పి పడుకుంటారు.
नाटेना एटिन, गोड्‍कुन, बर्रेन कलपिसि गोड्‍क-गोदाल्‍क इंतुर.		ఊరిలోని చిన్న పెద్ద జంతువుల, తెగదూడలు అంటారు.
मातरालोर्क नरकडकु निद्रते गोंड्रंतुर.		ముసలివారు నిద్రపోయెటప్పుడు బుర్లు గొట్టుతారు.
गोर सिक्‍कुड कायान कुसिर कीसि तिंतुर.	वाल को सब्‍जी बनाके खाते है।	గోరు చిక్కుడు కాయలను కూరచేసి తింటారు.
गोर्रुतोनि जोन्ना, सोयाबिन दोस्‍संतुर/एद्दंतुर.		మూడు కాళ్ళ వెలుగడతో జొన్న విత్తునాలు నాటుతారు.
बर्रेन गोल्‍सुने दोहंतुर		బఱ్ఱెలను గొలుసులతో కట్టుతారు.
मुरतड पेकीं गौन केर्रंतां.	स्‍त्रीयाँ गौउन पहनते है।	అమ్మాయిలు గౌను తొడుగుతారు.
