Gondi Sentence	Telugu Translation
కల్ బండంగ్ అర్సి ఇంకెన్ ఉరితంగ్.	రాళ్ళ వర్షం వచ్చి ఇప్పుడే రాళ్ళు కరిగి పోయాయి.
మర్క కాంద ఉరుంగ్త.	మామిడి చెట్టు కొమ్మ విరిగింది.
బాయిక్ కట్టెన్ సొంజి కయ్దె ఉరూసంతంగ్.	అమ్మాయిలు కట్టెలకు వెళ్ళి చేతితో విరిచేస్తున్నారు.
యేర్ పెట్టిత్ రొప్పొ సొంజి ఉల్ తయర్ ఆంత.	నీరు కడుపు లోపలికి వెళ్ళి మూత్రం తయారు అవుతుంది.
పెట్టిత్ రొప్పొ ఉల్ పొపొట మందంత.	కడుపులోపల మూత్రాశయం ఉంటుంది.
తమ్ముక్ తింజి పుచ్క్ పుచ్క్ ఉస్కంతెర్.	తంబాకు తిని తుపకున ఉమ్ముతారు.
ఉస్కె సిమింట్ మిస్డికీసి రొహ్క్ దొహంతెర్.	ఇసుక సిమెంట్ కలిపి ఇండ్లు కట్టుకుంటారు.
దుర్నత్ సుంగునగ ఉస్డె ఆసి మంతొర్.	దుర్నాత్ సుంగు దగ్గర అప్పు చేశాడు.
టీవితగ దుబ్బ ఆతెకె చక్నె ఉస్మంతెర్.	టీవీమీద దుమ్ము పడితే తుడుచుకోవాలి.
తానంగ్ కడ్క్‌న యేర్ ఉస్మ.	ఆమే కన్నీళ్లు తుడువు.
ఇవ్ రోకడె వంజింగ్ ఉసెర్ మంతంగ్.	వీరు రోకలితో వడ్లు దంచుతున్నారు.
మర్మిన్ సొన్వల్ మంత ఉసీర్ కియ్మ.	పెళ్లికి వెల్లెది ఉంది ఆలస్యము చెయ్యకు.
పేప్రెంగ్ ఉహ్క్‌వన్ ఉహ్క ఇంతెర్.	సన్నాయి ఊదేవాన్ని ఊదు అంటారు.
వెడిల్ మాయ్నల్ కట్టె ఉహ్చెర్ తాకంతొర్.	ముసలివాడు కర్ర పట్టుకొని నడుస్తున్నాడు.
గాటొ అట్లెన్ గంజ్ సొద్దెడగ ఉహ్లె న్ సొత్త.	అన్నం వండు కోవడానికి పొయ్యి మీద పాత్ర పెట్టు.
అట్టన్ సాటి సొద్దెదగ గంజ్ ఉహ్వల్.	వంట చేయడానికి పొయ్యి మీద పాత్ర పెట్టడం.
మూర పియ్యతున్ పాల్ ఉహ్చెర్ మంత.	ఆవు దూడకు పాలు తాపుతుంది.
వీసా రోజ్క్‌నె కాండిన్ ఊకడ్ వాట్తెర్.	ఇరవై ఒక్క రోజుకు పిల్ల వాన్ని ఉయ్యాలలో వేశారు.
ఊచ్ డేండెతె సాకుర్, బేలి తయర్ ఆంత.	చెరుకు గడతో చక్కెర, బెల్లం తయారు అవుతాయి.
గాటొ తిత్త పజ్జె గంజ్క్ దడియంగ్ బయ్యె ఊటి కీంత.	అన్నము తిన్న తర్వాత పాత్రలు అమ్మ తోముతుంది.
నొవ్రి నొవ్రన్ గా కమ్క పిండితె ఊటెడ ఊసి యేర్ మిహంతెర్.	వధూ వరులకు పసుపు పిండి రాసి స్నానం చేయిస్తారు.
ఉడ్త వాలెబొమ్మి తగ పంట వాటంతెర్.	దున్నిన భూమిలో పంట వేస్తారు.
యేర్ మిహ్చి కాండిర్-పేకినంగ్ తల్లంగ్ ఊడంతంగ్.	స్నానం చేయించి పిల్లల తల దూస్తారు.
వావ్టె నాయ్‌‌ఙడే ఊడంతెర్.	నాగలితో చేనును దున్నుతారు.
పంట వాటన్ సాటి రగ్డి కీసి ఊడ్సెర్ మంతొర్.	పంట పండించడానికి దున్నుతూ ఉన్నాడు.
పోలిస్కున్ కేడతుర్ బామ్ వాట్సి ఊడి కీతెర్.	పోలీసులను అన్నలు బాంబు వేసి పేల్చినారు.
బస్ నగ కల్లె కొత్తంగ్ కల్సి బస్నల్ ఊడి పాసి విచ్చెర్ మంతొర్.	బస్సులో దొంగ డబ్బులు దొంగిలించి దునికి పారి పోతున్నాడు.
కేడనంగ్ గుట్టనగ కాసుర్ సరి ఊతర్ మందంత.	అడవిలోని గుట్టలలో ఎడ్ల బండి దారి ఏటవాలుగా ఉంటుంది.
డబ్బతల్ తోడి నియ్దున్ గొట్టతె ఊతంతెర్.	డబ్బాలోని మంటి నూనెను పైపుతో పీల్చుతారు.
హెడ్జ్ పుత్తితంగ్ పెత్తెంగ్ ఊతంత.	ఎలుగు బంటి పుట్టలో ఉన్న చీమలను పీల్చుకుంటుంది.
లవ్‌డినే, డాట్ బేస్రం వేలిన్‌గా, ఊతింగ్ మందంతంగ్.	వాగులోగాని, బేసరం పొరకలలో గాని బుర్రుపిట్టలు బాగా ఉంటాయి.
ఇవ్ నావంగ్ పుస్తక్ ఆందుంగ్ ఇంజెర్ ఊందంతొర్.	ఇవి నా పుస్తకాలు అని గుంజుకుంటున్నాడు.
బయ్యె ఊకడున్ ఊంగ్సెర్ మంత.	అమ్మ ఊయలను ఊపుతుంది.
జత్రనగ ఊకక్ ఊంగ్వల్ మందంత.	జాతరలో ఊయలలు ఊగుతారు.
కాండిర్ నోడెత్ ఊమ్సెర్ మంతెర్.	పిల్లలు తాడును లాగుతున్నారు.
నోడె పియ్సి కున్ ఊమ్సెర్ మంతొర్.	తాడు పట్టి లాగుతున్నాడు.
కోందంగ్ కాసుడున్ ఉమ్సెర్ మంతంగ్.	ఎడ్లు ఎడ్లబండిని లాగుతున్నాయి.
జగ్డ కీనెకె బెయ్ ఊయ్‌సరింగ్ కీంతొర్.	గొడవ చేసేటప్పుడు తెలివి ఉపయోగిస్తున్నాడు.
డగుర్ పీర్- వాతెకె లవిడున్ ఊస వాంత.	పెద్ద వాన పడితే వాగు పొంగుతుంది.
అమ్మ రోన్ ఊసంత.	అమ్మ ఇల్లు మేగుతుంది.
కాపుస్ పెర్వల్ మొదొల్ కీనెకె పాల్ ఊసు సీంతెర్.	పత్తి ఏరుకునే ముందు పాలు పొంగించి పత్తి ఏరుకుంటారు.
కుస్రి ఊసెర్ మంత.	కూర పొంగుతుంది.
మిర్చంగ్ ఉర్స్‌లెన్ ఎక్కర్‌ జాగ సెల్లె.	మిరప కాయలు నాటడానికి ఎకరము స్థలం కూడ లేదు.
కక్రంజ్ పిట్టె కెక్కెర్ కెక్కెర్ ఇంజెర్ ఆడంత.	కమ్జు పిట్ట కెక్కెర్కెక్కెర్ మని అరుస్తుంది.
మామల్ కల్ ఉంజి కక్సెర్ మంతొర్.	మామయ్య కల్లు తాగి వాంతులు చేస్తున్నారు.
గాటొ తిన్నెకె కచబిచ్ ఆంతెర్.	అన్నము తినేటప్పుడు గందరగోళం చేస్తున్నారు.
సారి అని గార్క కచ్కుడె మీడు సీంతెర్.	రొట్టెలను మరియు గారెలను చలాకతో మల్చుతారు.
వావ్టె కామ్ తుంగ్వల్ సామన్ కచ్చిత కీంతెర్.	వ్యవసాయ పని ముట్లు ఇనుముతో చేస్తారు.
కచ్చి వీసి సడపితగ మందంత.	పచ్చ ఈగ పెండలో ఉంటుంది.
చుడుర్ కాండి చెంబుతున్ కచ్చి యేర్ ఉంజెర్ మంతొర్.	చిన్నపిల్లవాడు గ్లాసులో నోరు పెట్టి నీరు తాగుతున్నాడు.
ఉట్నూర్ నగుడె గోండి కచురి మంత.	ఉట్నూర్ నగరంలో గోండి కార్యాలయం ఉంది.
ఉంది కచురిత ఆంద్.	ఒక కార్యాలయానికి చెందినది.
కచెడంగ్ కాడింగ్ పొద్దితగ వాటన.	చెత్తను చెత్త కుప్పలో వేసుకోవాలి.
నొవ్రన కయ్‌దగ కటర్ పియుసంతెర్.	వరుని చేతికి కత్తి పట్టుకొమ్మని ఇస్తారు.
యేర్ అపుసన్ సాటి లవ్డితె కట్ట దొహంతెర్.	నీటిని ఆపుటకు వాగుకు అడ్డు కట్ట కట్టుతారు.
బాబల్ మీన్కున్ సొంజికున్ కట్టుడి మీన్క్ పియ్సి వాతొర్.	నాన్న చేపలకు వెల్లి జెల్ల చేపలు తెచ్చుకున్నాడు.
డగుర్ కేడతగ కట్టెంగ్ వెల్లె మందంతంగ్.	పెద్ద అడవిలో కలప ఎక్కువగా ఉంటుంది.
కట్టెతున్ రంపెతె కొయ్యంతెర్.	కట్టెను రంపంతో కోస్తారు.
కట్టెత గద్దినగ మన్వల్ గోంగొరతున్ కట్టె గోంగొర ఇంతెర్.	కట్టె కన్నంలో ఉండే పురుగును కట్టె పురుగు అని అంటారు.
కట్టెతున్ తిన్వల్ పుడితున్ కట్టె నూడి ఇంతెర్.	కట్టెను తినే పురుగును కట్టె తినే పురుగు అంటారు.
పెన్సిల్ తున్ కట్టె పొంటిన్ ఇంతెర్.	పెన్సిల్ ని కట్టె పెన్ను అని అంటారు.
బస్ వాయ్వ సొంజి నిల్సి నిల్సి కట్టెడె మాతొర్ .	బస్ రాకపోవడం వలన నిలిచి అలిసి పోయాడు.
నిమ్మె సియ్వలిక్ బతయ్ కట్టొ.	నీవు ఇవ్వ వలసినవి ఏమీ వద్దు.
ఆడ్ మాడ్సొ కట్తెర్.	ఆలుమగలను కలుపు.
మావ రోత కట్ల నాడి హైదరాబాదు వొంతొమ్.	మా ఇంటి సామాను హైదరాబాదుకు తీసుకు పోతాము.
ఊర్ ఇవ్విర్ కట్సి సొత్తెర్.	వారు ఇద్దరూ కలిసి వెళ్లారు.
బయ్ టొస్సుర్ మాయ్నల్ మత్తెకె తాక్లెన్ బయ్ కటిన్ ఆంత.	బాగా లావుగా ఉన్న వ్యక్తికి నడవడం చాలా కష్టం అవుతుంది.
యెద్దితె కామ్ కయ్లెన్ బయ్ కటిన్ ఆంత.	ఎండలో పని చెయ్యడం చాలా ఇబ్బందిగా ఉంటుంది.
ఇవ్ అక్సర్క్ బయ్ కటిన్ తె మంతంగ్.	ఈ అక్షరాలు చాలా ఇబ్బందిగా ఉన్నాయి.
పేన్దున్ వరొర్ కటొడల్ మందంతొర్.	దేవునికి ఒక్క పూజారి ఉంటాడు.
కడ గోటి కీతెకె దానంగ్ బూడ్ సొన్నంగ్.	కళ్ళం చదును చేయుట వలన విత్తనాలు కిందికి పోవు.
తాక్సెర్ సొన్నెకె కడబిడ సొన్వ.	నడుచుకొనే టప్పుడు చెదురు మదురుగా నడవ కూడదు.
గుల్లెర్ తగ చుడ్డుక్ కడక్ ఇర్సి పిట్టెంగ్ పాంతెర్.	గుల్లెరులో చిన్న రాళ్లు పెట్టి పిట్టలను కొడతారు.
పిర్ వానెకె కడల్ పిడల్ ఇంజెర్ మిడ్చంత.	వాన వచ్చేటప్పుడు ఉరుము ఉరిమింది.
మాయ్నల్ కొండలిక్ కడ్క్ కీసి సూడ్సెర్ మంతొర్.	వ్యక్తి పెద్ద కళ్లు చేసి చూస్తున్నాడు.
నావ కడ్ తొయ్త.	నా కన్ను ఉబ్బింది.
నాకున్ కేయ్సికున్ తన్న కడ్ పిహ్తొర్.	నన్ను పిలిచి తను కన్ను మూశాడు.
కడ్ మయ్ల వాలె బేకె వాతొర్.	కంటి మైల గలవాడు ఎక్కడికీ వచ్చాడు.
పోడ్ సొందన్ మున్నెత టేమున్ కడ్ వేడ్చి ఇంతెర్.	పొద్దు పోయే ముందు సమయాన్ని సంధ్యా సమయం అంటారు.
నర్కక్ సొన్నెకె మోటక్‌నంగ్ బుగ్గంగ్ సూడ్సి కడ్క్ దిపేమాంతంగ్.	రాత్రి సమయంలో వాహనాల వెలుతురుతో కండ్లు కనబడకుండా అవుతావి.
కడ్గ టాటితె గొవుర్ వాటంతెర్.	ఎరువును తట్టలో తీసుకువెళుతున్నారు.
వేర్ బయ్ కడ్డు.	ఇతను చాలా చెడ్డవాడు .
కడ్దగ పూల్ వాలె మంతొర్.	కంటిలో పువ్వు గలవాడు ఉన్నాడు.
దుర్నత్ కల్లెన్ కడ్దె సూడ్సెర్ మంతొర్.	దుర్నాత్ కండ్లతో చూపు పెట్టి దొంగని చూస్తున్నాడు.
డువడున్ కడ్యల్ గిర్ ఇంతెర్.	పులిని కడ్యల్ అని కూడ అంటారు.
జన్వర్క్ నంగ్ కడ్ కొండంగ్ డగ్గుక్ మందంతంగ్.	పశువు కన్ను బొమ్మలు పెద్దగా ఉంటాయి.
పేడి నాకున్ కడ్ పాసెర్ మంత.	అమ్మాయి నాకు కన్ను కొడుతుంది.
నావ కడ్ వాసి నాకున్ సూడ సియ్యొ.	నా కన్ను నన్ను చూడనివ్వదు.
సడయి పిండిత కడి కుస్రి కీంతెర్.	చెనగ పిండితో మదురం చేస్తారు.
రాము ఉంది కడి వార్తొర్.	రాము ఒక పల్లవి పాడినాడు.
ఇద్ కొబ్రె కడిసి పెసిత.	ఈ టెంకాయ చెడి పోయింది.
కారెల కాయ కడుస్ మంత.	కాకర కాయ చేదుగా ఉంది.
మాతరిక్ కాల్క్‌నగ కయ్క్‌నగ కడెంగ్ కెరంతంగ్.	ముసలివారి చేతులకు కాళ్ళకు కడియాలు ఉంటాయి.
రామ్ రావనన్ కతమ్ కీతొర్.	రాముడు రావణుడిని చంపాడు.
కత్తుల్ త కడెంగ్ కీంతెర్.	సీసంతో కడియాలు తయారు చేస్తారు.
కెల్క్ లహ్క్ లహ్క్ వాతెకె కత్తెరతె కత్రి కియన.	వెంట్రుకలు పొడువుగా వస్తే వాటిని కత్తెరతో కత్తిరించాలి.
కత్తెరతె కెల్క్ కాగుత్క్ కప్డింగ్ కత్రి కియ్లెన్ కామ్ సీంత.	కత్తెరతో వెంట్రుకలు కాగితాలు బట్టలు కత్రించడానికి పనికి వస్తుంది.
కాండిర్ తల్ల కెల్క్ కత్రి కియ్లెన్ సొత్తెర్.	పిల్లలు తల వెంట్రుకలు కత్తిరించుటకు వెళ్లారు.
ఊర్ నావ కదర్ సెల్వ మంతెర్.	వారు నా మర్యాద లేకుండ ఉన్నారు.
ఇర్వల్ మిర్చతున్ కదిసి తింతెర్.	పచ్చి మిరప కాయలను కొరికి తింటారు.
నన్న కలెక్టర్ ఆతొన్ ఇంజెర్ కంజ్క్‌తొన్.	నేను కలెక్టర్ అయినాను అని కల కన్నాను.
తల్ల ఊడన్ సాటి కంగ్వ కామ్ వాంత.	తల దువ్వు కొనుటకు దువ్వెన పనికి వస్తుంది.
వరొర్ మాయ్నల్ కంజురి నేకుసీంతొర్.	ఒక వ్యక్తి ఒక కంజెర వాయిస్తున్నాడు.
కనకంబరల్ పుఙర్ జూడతగ దొసంతంగ్.	కనకాంబరం పువ్వులను కొప్పులో పెట్టుకుంటారు.
కాన కుస్ట్‌యల్ కరబ్ గొస్టింగ్ వడ్కంతొర్.	చెడ్డ వాడు చెడ్డ మాటలు మాట్లాడుతాడు.
రవి కపట్ సెల్వక్ మంతొర్.	రవి కపటం లేకుండా ఉన్నాడు.
వేర్ వెల్లె కప్టి మంతొర్.	ఇతను చాలా కపటం గల వాడు.
పిర్ వాతెకె వోడ్త కప్డి సర సర ఇంత.	వర్షం రాబోయే టప్పుడు చీర సరసర అంటుంది.
బాయిక్ కప్పడగ సింగర్ కొహ్కంతంగ్.	స్త్రీలు నుదురు మీద పచ్చ బొట్టు పొడుపిచ్చుకుంటారు.
డొడ్డొంగ్ కప్పినగ రోన్ దొహంతెర్.	ఎత్తుపల్లాల్లో ఇళ్లు నిర్మిస్తున్నారు.
కప్పె పిట్టె చుప్నె ఉచ్చికున్ మందంత.	ఈ పిట్ట చాటుగా కూర్చొని ఉంటుంది.
కబుక్ వెహ్వన్ కబ్రియల్ ఇంతెర్.	సమాచారము చెప్పేవాడు సందేశకుడు.
నీవంగ్ కొత్తంగ్ నీక్ సీంతొన్ ఇంజెర్ కబ్లె మాతొర్.	నీ డబ్బులు నీకు ఇస్తాను అని ఒప్పుకున్నాడు.
కాకొ కబుక్ కిబుక్ తాకంత.	అమ్మమ్మ అక్కడ ఇక్కడ నడుస్తుంది.
మర్మిన కబుర్ వెహ్లెన్ దాదల్ సొత్తొర్.	పెండ్లి వార్త చెప్పడాని అన్నయ్య వెళ్లాడు.
మావ నాటె కరంట్ వొయన్ సాటి కరంట్ కంబ పహజ్లె.	మా ఊరికి విద్యత్తు తీసుకుపోవడానికి స్తంభం అవసరం.
మావ రోతున్ మున్నె కరంట్ కంబ మంత.	మా ఇంటి ముందు కరంట్ స్తంభం ఉంది.
కమ్క నొవ్రి నొవ్రనగ సోకంతెర్.	పసుపు వధూవరులకు పూస్తారు.
కమ్క కప్డితున్ పోండు సీంతెర్.	పసుపు చీరను కట్టిస్తారు.
ఆసియ కండం బయ్ డగుర్ మంత.	ఆసియా ఖండం చాలా పెద్దగా ఉంది.
జొన్నంగ్ కహ్నెకె ఉంది కండి ఇంజెర్ కహంతెర్.	జొన్నలు కొలిచేటప్పుడు పుట్టెడు అని కొలుస్తారు.
కండొక మర్ర కయ్ కాల్క్ నోయ్వడ మత్ కీంతెర్.	కండోక చెట్టు చేతులు కాళ్లు నోప్పిపెట్టినప్పుడు మందు తయారు చేస్తారు.
నిమ్ కట్టెంగ్ బయ్ కమ్మి తత్తి.	నీవు కట్టెలు చాలా తక్కువగా తెచ్చావు.
నాకున్ కమ్మి దరత దోత్రె యేత్‌తొన్.	నాకు తక్కువ వెల గల దోవతి తీసుకున్నాను.
కమ్మివేర్ మంత వయ్నె కామ్ కీమ్.	తక్కువ సమయం ఉంది తొందరగా పని చేయు.
నిమ్మె కమ్మివేర్తె వెల్లె కామ్ కియన.	నీవు తక్కువ సమయంలో పని చేయాలి.
సినిమా సూడ్వలిర్ ఉంది కమ్రతగ సూడంతెర్.	సినిమా చూసే వారు ఒకే గదిలో సినిమా చూస్తున్నారు.
నన్న కమ్సె కమ్ నీ అచొర్ లామ్ మంతొన్.	నేను దాదాపుగా నీ అంత పొడవు ఉన్నాను.
కంపుటర్ లెక్కంగ్ కీసి తొహంత.	కంప్యూటర్ లెక్కలు చేసి చూయిస్తుంది.
మాకున్ ఉంది డగుర్ కంపెని మంత.	మాకు ఒక పెద్ద కర్మాగారము ఉంది.
కమ్మల్ పట్టి పిర్ వానెకె దిసంత.	ఇంద్రధనుస్సు వర్షం వచ్చేటప్పుడు కనిపిస్తుంది.
వెడిల్క్ వెల్లె కీసి కమిస్క్ కెరంతెర్.	ముసలి వాళ్ళు ఎక్కువగా చొక్కాలు వేసుకుంటారు.
ఇన్కె కమెయ్ కీతెకె మున్నె కామ్ సీంత.	ఇప్పుడు సంపాదిస్తే ముందు పనికి వస్తుంది.
కామ్ కీసికున్ నన్న కమెయ్ కీంతొన్.	పని చేసి సంపాదించుకుంటాను.
నొవ్రి నొవ్రల్ కయ్క్ పియ్సి బొవ్ల తిరియంతెర్.	పడుసు వరుడు చేతులు పట్టి గద్దె చుట్టు తిరుగుతారు.
నన్న కయ్దె తింజెర్ మంతొన్.	నేను చేతితో తింటున్నాను.
దన్క లాక్తెకె కయ్ బొక్క ఉర్ఙంత.	దెబ్బ తగిలితే చేతి ఎముక విరుగుతుంది.
ఇంద్రున కయ్ బొట్ట వరిత మంత.	ఇంద్రు చేతి వేలు వంపుగా ఉంది.
బాపురావు కయ్దకామ్ నొర్ ఆందుర్.	బాపురావ్ చేతి పనివాడు.
కయ్దె కోర్వితగ పాతొర్.	చేతితో చెంప మీద కొట్టాడు.
వోన్ కామ్ కియ్లెన్ కయ్దెనె ఆసెర్ సెల్లె.	అతనికి పని చేతన అవడం లేదు.
కయ్వర్ తె కట్టె కొయ్యంతెర్.	రంపంతో కట్టె కోస్తున్నారు.
కట్టెంగ్ కొయ్వల్ కచ్చిత కయ్వర్ ఆంద్.	కట్టెను కోసే రంపము ఇనపది.
ఇన్కె బస్ కేరమేరి గుట్టతగ మిడుంగ్త ఇంజెర్ కయ్‌పత్ వాత.	ఇప్పుడే బస్సు కేరమేరి గుట్టలలో బోల్తా పడింది అని వార్త వచ్చింది.
నాగు నావ సయ్కిడున్ కరబ్ కీతొర్.	నాగు నా సైకిల్ పాడు చేసాడు.
చాల్ కరబ్ మంత.	ప్రవర్తన చెడుగా ఉంది.
కరబ్ చిజ్క్ రోత్ కరుమ్ ఇర్వ యెడ్కింగ్ వాంతంగ్.	పనికి రాని వస్తువులు ఇంటి దగ్గర ఉంచకూడదు, జ్వరాలు వస్తాయి.
పద్దింగ్ కరబ్ యేతగ నేంగ్సి మందంతంగ్.	పందులు మురికి నీటిలో వెల్లి ఉంటాయి.
కరబ్ వడితున్ ఊత్తెకె బేమరింగ్ వాంతంగ్.	చెడ్డవాడు గాలిని పిలుస్తే రోగాలు వస్తాయి.
బండంగ్ తేల్సి కరబ్ సరి ఆత.	రాళ్లు పైకి తేలి దారి చెడిపోయింది.
కరబ్ సెల్లె అద్ రేక్ ఆకి వాటన.	హాని లేని అది రేకు ఆకు వెయ్యాలి.
కుహితగ కరబ్న యేర్ మంత.	బావిలో కలుషితమైన నీరు ఉంది.
నిన్నె యేత్త పొంటిన్ నిన్నెనె కరబ్ కీతొర్.	నిన్న కొనుక్కున్న కలమును నిన్ననే పాడు చేసుకున్నాడు.
నేండ్- మావ నాటె కలెక్టర్ వాంతొర్ ఇంజెర్ కరల్ వెహ్తొర్.	నేడు మా ఊరికి కలెక్టర్ వస్తున్నాడు అని వాస్తవం చెప్పాడు.
కరల్ కి లబడ్ ఇంజెర్ అన్‌మన్ వాసెర్ మంత.	నిజమా అబద్ధమా అని అనుమానం వస్తుంది.
పోసి నేయ్దగా కరల్ బుద్ది మందంత.	పెంచినా కుక్కకు ఖచ్చితమైన ఆసక్తి ఉంటుంది.
నాగోరావె కల్తొర్ ఇంజెర్ కరల్ వెహ.	నాగోరావు దొంగిలించాడు అని నిజం చెప్పు.
ఇద్ కేసున్ కరస్ కియ్వల్ మంత.	ఈ కేసును రద్దు చేస్తారు.
పిత్తుడ్ తాలీ బయ్ కర్క పియ్త.	ఇత్తడి ముంత బాగా తుప్పు పట్టింది.
గాటొ తింజి దెడే నొర్వక్ ఇర్తెకె కర్కట పియ్యంత.	అన్నము తిని పళ్లెం కడుగక పోతే పళ్ళెం పాడవుతుంది.
వాడె కట్టెతున్ కర్క్‌నె రంపతె కొయంతొర్.	వడ్రంగి కట్టెను రంపంతో పూర్తిగా కోస్తాడు.
కాసుడ ఆస్కుడున్ హిందక్ హందక్ మెల్య సియ్వక్, కర్ఙడింగ్ దొసంతెర్.	ఎడ్ల బండికి అటు ఇటు కదలకుండా ఇరుసు సీలను పెడతారు.
డోల్ చడికీనెకె డోల్ నోడెతగ కర్చ వాటంతెర్.	డోలు తయారు చేసేటప్పుడు డోలు తాడుకు కర్చ వేస్తారు.
నన్న దుకాన్ వాటన్ సాటి వెల్లె కర్చ దొస్తొన్.	నేను దుకాణం పెట్టడానికి ఎక్కువ పెట్టుబడి పెట్టాను.
కర్జ్ ఆతెకె మత్ సోకాన.	గజ్జికి మందు పూసుకోవాలి.
గుసడ్క్ నడితగ గుంగుక్ దొహన్ సాటి కర్దొడ దొహంతెర్.	గుసాడి వారు గజ్జెలు కట్టు కోవడానికి నడుముకు మొలత్రాడు కట్టు కుంటారు.
పిట్టెంగ్ కుప్ప మత్తెకె కర్ప ఇంజెర్ ఇంతెర్.	పిట్టల గుంపును కర్ప అని అంటారు.
కర్పెసలిక్ తిడింజ్క్ మంతంగ్.	గోళ్లు మృదువుగా లేవు.
కాక్డె వేలి కర్య దొహ్చి మంత.	దోసకాయ తీగ పిందె పట్టింది.
నావొర్ కాండి కర్స పిస్సంగ్ మంతొర్.	నా కొడుకు ఆడుకునే దశలో ఉన్నాడు.
వీర్ చెండు కర్సెర్ మంతెర్.	వీరు బంతి ఆడుచున్నారు.
కర్ వస్త ఇంజెర్ కాండి బయ్యెన్ గాటొ తల్కంతొర్.	ఆకలి అయింది అని పిల్లవాడు అమ్మని అన్నము అడుగుతున్నాడు.
మావ నాట్నురో సాడతొర్ కాండిన్ కరి కీమ్.	మీ ఊరి బడి పిల్ల వాన్ని గుర్తు పట్టండి.
వోర్- సాడ కరిచిలొర్.	అతను శిక్షణ పొందలేదు.
నన్న కరివల్ మంత.	నేను నేర్చుకొనెది వుంది.
నన్న ఇన్కె కోయంగ్ కరిసెర్ మంతొన్.	నేను ఇప్పుడు గోండి భాష నేర్చుకుంటున్నాను.
వోర్ తాన్ కంప్యూటర్ కరుసెర్ మంతొర్.	ఆయన ఆమెకు కంప్యూటర్ నేర్పుతున్నాడు.
నాకున్ నేండ్- బయ్ కర్వస్త.	నాకు నేడు బాగా ఆకలి అయింది.
వావ్టె కామ్ కీతెకె బయ్ కర్ వసంత.	చేనులో పనిచేస్తే చాలా ఆకలి వేస్తుంది.
గుట్టత్ పొర్రొ మన్వల్ నాటున్ యేత్త కరు అర్త.	గుట్ట మీది ఊరిలో నీటి కరువు వచ్చింది.
వోర్ కామ్ కీసి కరుసాసి మంతొర్.	అతను పని చేసి ఆకలితో ఉన్నాడు.
తడ్మి వెల్లె ఆసి గాటొ కరుత.	మంట ఎక్కువ పొయి అన్నము మాడి పోయింది.
మావ నార్ ఆదిలాబాదున్ కరుమ్ మంత.	మా ఊరు ఆదిలాబాదుకు దగ్గరలో ఉంది.
నీ మోటర్ నిమ్మెయ్ కరుమ్ ఇర్ర.	నీ వాహనాన్ని దగ్గర పెట్టు.
మావ రోతున్ కరుమ్నెర్ నేండ్ పేన్కున్ సొంజెర్ మంతెర్.	మా ఇంటి పొరుగువారు ఈ రోజు దేవుని దగ్గరికి వెళుతున్నారు.
నాకునె కరె మాత ఇంజెర్ తన్గ ఇర్వ దుస్రొన్ గిర్ వెహన.	నాకే తెలిసింది తన లోనే ఉంచుకొనక ఇతరులకు కూడా చెప్పాలి.
నిమ్మె వెహ్త నాకున్ కరె మాయ్ మాకీ.	నీవు చెప్పినవి నాకు అవగతం కాలేదు.
నిమ్ బతల్ కామ్ కీంతియొ నాక్ కరె మాత.	నీవు ఏ పని చేస్తున్నావో నాకు తెలుసు.
రోజి సక్రెన్ తెచ్చి రచ్చతె కరెటతె వియర్ సియంతెర్.	రోజు ప్రొద్దున లేచి వాకిటిలో ఊడ్చుకుంటారు.
కరంట్నె యేర్ కాసుసీసెర్ మంతెర్.	కరంటుతో నీరు కాచుతున్నారు.
వేర్ నాకున్ కరెమాతొరె ఆందుర్.	ఈయన నాకు చాలా తెలిసిన వాడు.
కరెమాయొ అదెన్ బోనె వెహ్వ.	తెలియని దానిని ఎవ్వరికీ చెప్పకు.
సిపాయిర్ బోన్కె కరెమాయ్వక్ వాంతెర్.	సిపాయిలు తెలియకుండా వస్తారు.
పిర్ద యేర్ కలకల పోంగ్ సెర్ మంత.	వర్షపు నీరు గలగల ప్రవహిస్తుంది.
దురడిత్ నేటి కలర్ కలర్ తంగ్ రంగ్క్ కర్సంతెర్.	హోలీ పండుగ రోజున రంగులతో ఆడుతారు.
కలడి సీందిత, తాడిమర్రత కల్ రెహ్చి బుడ్డింగ్/లొట్టింగ్/బింకింగ్ మున్నె కీసి నిల్‌తొర్.	గౌడు ఈత చెట్టు, తాడి చెట్టు నుండి కల్లు దించి కడవముందు నిలిచి ఉన్నాడు.
కల్ ఉండన్ సాటి మాయ్‌నలిర్ కల్ బట్టితగ మీరెమాంతెర్.	కల్లు తాగడానికి వ్యక్తులు సారా బట్టిలో గుమి గూడుతారు.
కల్ బండంగ్ అర్తెకె మాయ్‌నన్ దన్క లాగంత.	రాళ్లు పడటం వల్ల వ్యక్తికి దెబ్బలు తగులుతాయి.
రాంజి వాచికియ్వలిక్ పుస్తకున్ బోర్ కల్తెర్.	రాంజి చదువుకునే పుస్తకాలను ఎవరు దొంగిలించారు.
జగ్డంగ్ కీసి కల్ల కీంతెర్.	గొడవలు చేసి అల్లరి చేస్తారు.
మనోజ్ తన్వంగ్ పుస్తకున్ కల్లగుల్ల కీంతొర్.	మనోజ్ తన పుస్తకాలను గందరగోళం చేసాడు.
